Year,S/T name,LGA name,Total persons no.
2021,New South Wales,Albury,56067
2021,New South Wales,Armidale,29332
2021,New South Wales,Ballina,46196
2021,New South Wales,Balranald,2208
2021,New South Wales,Bathurst,43674
