Year,S/T name,LGA name,Total persons no.
2006,New South Wales,Albury,47566
2006,New South Wales,Armidale,27377
2006,New South Wales,Ballina,39537
2006,New South Wales,Balranald,2507
2006,New South Wales,Bathurst,36916
